"","location"
"1107","United States"
"1108","Willmar, MN"
"1109","Durban, South Africa"
"1110","U.S."
"1111","East London.Mthatha S.A"
"1112","Glens Falls, NY"
"1113","Burbank, CA"
"1114","Montral, Qubec"
"1115","O'Hara Township, PA"
"1116","Halifax // Unceded Mi'kma'ki"
"1117","St Louis, MO"
"1118","661 , Ca."
"1119","Glastonbury, Somerset, UK"
"1120","bidos/Par"
"1121","Indianapolis, IN"
"1122","Ohio"
"1123","miami"
"1124","Nashville, TN"
"1125","Glastonbury"
"1126","Woonsocket, RI"
"1127","San Diego, California"
"1128","California"
"1129","Austria Turin"
"1130","Ottawa, Ontario"
"1131","Bumblefuck, New Jersey"
"1132","No seu coraozito"
"1133","lancaster, England"
"1134","Potsdam, NY"
"1135","Barra de So Joo"
"1136","Long Island"
"1137","Progressing"
"1138","ire/Catalunya"
"1139","martin.belam@theguardian.com"
"1140","Columbus, OH"
"1141","Berlin, Germany"
"1142","InYourFace"
"1143","New York City"
"1144","Riverdale  Greendale"
"1145","Bra"
"1146","BCN-Catalunya"
"1147","Massachusetts, USA"
"1148","Fun sized spaces"
"1149","  "
"1150","New York"
"1151","Toronto, Canada"
"1152","United States"
"1153","Niteri, Brasil7"
"1154","they/them"
"1155","minding my bidness. "
"1156","UCSF/SFGH"
"1157","Los Angeles, CA"
"1158","LaLa Land"
"1159","Daytona,Florida"
"1160","Maric e no seu"
"1161","Alberta, Canada"
"1162","Clarington, Ontario"
"1163","Hazard, KY"
"1164","Somewhere in Nevada"
"1165","Windhoek, Namibia"
"1166","Las Urbinas 17, Providencia"
"1167","IOWA"
"1168","Kingdom of Wakanda"
"1169","Madison, WI"
"1170","Trumbull, CT"
"1171","New York"
"1172","Minneapolis "
"1173","Port Washington, NY"
"1174","Chicago"
"1175","in a seceret hideout somewhere"
"1176","Randfontein, South Africa"
"1177","Wales"
"1178","Chicago"
"1179","Macei, Brasil"
"1180","Armagh, Northern Ireland"
"1181","JHB | PTA "
"1182","Macei"
"1183","New York"
"1184","block cash masters & hatefulSW"
"1185","South East, England"
"1186","La Plata, Argentina"
"1187","Global"
"1188","Knoxville, Tennessee"
"1189","Tujunga, CA"
"1190","NYC, Long Island, Stamford"
"1191","London"
"1192","Comunidade Nova Braslia"
"1193","Aetherium"
"1194","Kanpur, India"
"1195","Michigan City, IN"
"1196","Pretoria, South Africa"
"1197","Devon"
"1198","Dublin City University"
"1199","Liverpool, England"
"1200","Boca Raton, FL"
"1201","Somewhere"
"1202","somewhere minding mine"
"1203","meta: beijar carlson young"
"1204","Guatemala"
"1205","Somewhere"
"1206","Surabaya"
"1207","the world online"
"1208","CPT x JHB"
"1209","MNL PH"
"1210","Balnerio Cambori"
"1211","Hawaii, USA"
"1212","Lebanon"
"1213","isa mads dia nat kyna"
"1214","PEI"
"1215","Divinpolis, Brasil"
"1216","California, USA"
"1217","Gauteng,Johustleburg,EastRand,"
"1218","Florida, USA"
"1219","Lawndale, Ca"
"1220","Backwoods WA"
"1221","United States"
"1222","a beautiful island in BC"
"1223","Memphis, TN"
"1224","California, USA"
"1225","Sardinia"
"1226","behind you."
"1227","Santiago, Brasil"
"1228","MI by birth, NC by choice"
"1229","Las Vegas, NV"
"1230","jadope"
"1231"," Bravehearted, OH. FEMALE. "
"1232","Boston, MA"
"1233","Chris'lynn Donye' my "
"1234","MindyoBidness"
"1235","Edmonton, Alberta"
"1236","Austin, TX"
"1237","Just outside of Durham"
"1238","Brasil"
"1239","New York, New York"
"1240","Toronto"
"1241","New Braunfels, TX"
"1242","Florida"
"1243","Newfoundland and Labrador"
"1244","Yorkshire Yorkshire Yorkshire."
"1245","Ciudad de mexico"
"1246","Austria"
"1247","New York, NY"
"1248","East Coast"
"1249","Central New York"
"1250","West Virginia"
"1251","El Mundo"
"1252","Santos, Brasil"
"1253","VA"
"1254","New York"
"1255","Hohenfels "
"1256","Santiago, Chile"
"1257","Not Russia "
"1258","Washington, DC/Cleveland, OH"
"1259","Pretoria, South Africa"
"1260","Brooklyn, NY"
"1261","Pembrokeshire"
"1262","gauteng"
"1263","Toronto"
"1264","Anywere I Am Welome"
"1265","T: 50.187467,-5.435642"
"1266","Complexo de Nova"
"1267","Seattle, WA"
"1268","Suitland, MD"
"1269","Nashville"
"1270","London, UK"
"1271","Neverland"
"1272","Dimera Mansion, Salem USA"
"1273","California"
"1274","Rio Grande Valley, TX"
"1275","California, USA"
"1276","Rochester, NY, USA"
"1277","New York, NY"
"1278","Garanhuns, Brasil"
"1279","Virginia"
"1280","Franklin,NJ"
"1281","long island"
"1282","New York, New York"
"1283","Norf Sac"
"1284","Salamanca, Guanajuato"
"1285","United States"
"1286","Born in UK, but now in Italy"
"1287","Fucksgivenville"
"1288","California, USA"
"1289","Madera, CA"
"1290","Canada"
"1291","United Kingdom"
"1292","Bangu, Rio de Janeiro"
"1293","Shirley, MA"
"1294","United States"
"1295","Nova Scotia, Canada"
"1296","pullman Wa "
"1297","Belgrade"
"1298","Boston, MA"
"1299","New York"
"1300","Jacksonville, FL"
"1301","Toronto"
"1302","SJSU!!!!"
"1303","Narberth, PA"
"1304","Redding, CA"
"1305","Hyperbolic time chamber. "
"1306","Core de l'ouest de l'UE "
"1307","New York, USA"
"1308","United States"
"1309","By Sheer Wight of Numbers."
"1310","Houston, TX  Kingwood "
"1311","Rio de Janeiro, Brasil"
"1312","Brooklyn"
"1313","rib / 20 "
"1314","Gotham"
"1315","fluffalo"
"1316","Edenvale, South Africa"
"1317","West Palm Beach, FL"
"1318","Melbourne, Victoria"
"1319","Rio de Janeiro, Brasil"
"1320","Edmonton"
"1321","Rio de Janeiro"
"1322","Paradise Valley, AZ"
"1323","Rio de Janeiro, RJ"
"1324","New Jersey."
"1325","USA, UK, Europe"
"1326","Merseyside"
"1327","Drury"
"1328","Long Island"
"1329","Amsterdam, The Netherlands"
"1330","Tucker, GA"
"1331","snapchat- adamjforrester2"
"1332","Csu Mechanical Engineering "
"1333","Ohio"
"1334","Medford, OR"
"1335","United Kingdom"
"1336","Braslia, Brasil"
"1337","last layer"
"1338","Nilpolis"
"1339","Jozi - M'sotra"
"1340","Southside With Jughead Jones"
"1341","Austin, TX"
"1342","Nashville"
"1343","Maryland"
"1344","NYC"
"1345","South Holland, The Netherlands"
"1346","R.I.P CUATRO "
"1347","Brooklyn, NY"
"1348","Raleigh, NC"
"1349","New York, USA"
"1350","So Paulo, Brasil"
"1351","Kentucky, USA"
"1352","yay area"
"1353","Hull, UK"
"1354","Rio de Janeiro"
"1355","Central Florida"
"1356","Nigeria"
"1357","Alabama, USA"
"1358","Harlow Essex  ..."
"1359","Mxico"
"1360","Pickerington, OH"
"1361","Tucson, AZ"
"1362","south of heaven north of hell"
"1363","United Kingdom"
"1364","England, United Kingdom"
"1365","Bollege Station / San Antonio "
"1366","Riverside, CA"
"1367","Baltimore, MD"
"1368","South Florida via Louisiana"
"1369","Death Star"
"1370","Lawton, OK"
"1371","Thika"
"1372","St. Paul"
"1373","Inglaterra, Reino Unido"
"1374","Montana, USA"
"1375","North Texas"
"1376","ZN"
"1377","Vancouver, British Columbia"
"1378","Laredo, Texas"
"1379","Boston, MA"
"1380","810/217"
"1381","ifnt7"
"1382","Jennings, LA"
"1383","Falls Church, VA"
"1384","Dores do Rio Preto"
"1385","Brasil"
"1386","Salem, OR, USA"
"1387","this house is bitchin'"
"1388","Cheney, WA"
"1389","So Paulo, Brasil"
"1390","Texas, USA"
"1391","Boobtown USA"
"1392","Thetford Norfolk england"
"1393","Austin"
"1394","Wellington, New Zealand"
"1395","Five oh four"
"1396","Vnus"
"1397","Earth"
"1398","Philadelphia, PA"
"1399","Brooklyn, NY"
"1400","united kingdom :)"
"1401","Amelia, VA"
"1402","Cagliari, Italy"
"1403","Washy, Sunderland"
"1404","Brooklyn, NY"
"1405"," "
"1406","DC area"
"1407","Vermont"
"1408","Mafikeng, South Africa"
"1409","Wonderland "
"1410","Brasil"
"1411","Infinity and beyond"
"1412","South Africa - KZN !!"
"1413","/"
"1414","Auckland park, johannesburg "
"1415","Here, There and Everywhere. "
"1416","San Fransisco"
"1417","South Africa"
"1418","south of the mason dixon"
"1419","Telford, England"
"1420","Pretoria, South Africa"
"1421","Leeds, England"
"1422","9001 Wakarusa St, La Mesa, CA"
"1423","Morrow, OH"
"1424","()"
"1425","La Mesa, CA"
"1426","Toronto"
"1427","Rearcross"
"1428","Washington, D.C."
"1429","Fargo, ND USA"
"1430","Chicago, IL"
"1431","Philadelphia, PA"
"1432","Bloemfontein, South Africa"
"1433","Bristol "
"1434","The Earth's Womb"
"1435","Ireland"
"1436","Atlantic, IA"
"1437","New York, NY"
"1438","Cherokee, NC"
"1439","Rustenburg South Africa"
"1440","Warrington, England."
"1441","JB - CJ"
"1442","Ljubljana, Slovenia/EU"
"1443","Norcross, GA"
"1444","Argentina"
"1445","Somewhere Florishing "
"1446","Dee eff dub"
"1447","Decatur, GA"
"1448","Ethiopia"
"1449","Florida, USA"
"1450","Oakland, CA"
"1451","Land of Ooo"
"1452","Fort Meade, Md/Nashville "
"1453","North Carolina"
"1454","Orlando, FL"
"1455"," "
"1456","Brooklyn, NY"
"1457","South Africa"
"1458","Pats, Sox, & Celtics "
"1459","Cambridge"
"1460","DeBary, FL"
"1461","Berkeley, California."
"1462","Yorkshire"
"1463","Cabinda, Angola"
"1464","Kazakhstan"
"1465","where im suppose to be."
"1466","illinois broke by Democrts"
"1467","Southern California"
"1468","morris"
"1469","CU"
"1470","Ventura, California"
"1471","()"
"1472","Upstate NY, USA"
"1473","Washington, DC"
"1474","New Orleans, LA"
"1475","Canada"
"1476","Essex "
"1477","Granvi"
"1478","Wales, United Kingdom"
"1479","Maldivian Tyrannical Regime"
"1480","United States"
"1481","Sacramento, CA"
"1482","The Isle of Ely Fens"
"1483","NYC"
"1484","Delco, PA "
"1485","Minnesota, USA"
"1486","Hull"
"1487","Pretoria X Polokwane"
"1488","South Sioux City, NE"
"1489","Tshwane/Bloemhof, South Africa"
"1490","Live: Tacoma | Work: Seattle"
"1491","Nairobi, Kenya "
"1492","Polokwane,South Africa "
"1493","Blue Lagoon"
"1494","New York"
"1495","South Africa"
"1496","Dubai, United Arab Emirates"
"1497","Somewhere, being awesome"
"1498","NYC"
"1499","Emeryville, CA"
"1500","Cornwall, UK"
"1501","Ireland"
"1502","Cwb"
"1503","Ascurra"
"1504","Rio de Janeiro, Brasil"
"1505","Pittsburgh PA"
"1506","Fort Worth, TX"
"1507","e s s t q"
"1508","Colorado"
"1509","w caitlin / dante"
"1510","United States"
"1511","Blockchain"
"1512","nova brasilia "
"1513","Probably in a truck, somewhere"
"1514","El Paso, TX"
"1515","moon"
"1516","London"
"1517","Immune Booster"
"1518","everywhere like such as"
"1519","Natal, Brasil"
"1520","Springfield, IL"
"1521","pakistan"
"1522","Annapolis, MD"
"1523","Nazareth "
"1524","Elsewhere"
"1525","seattle area"
"1526","Washington, England"
"1527","Braslia DF"
"1528","Houston, Texas"
"1529","Dallas, TX"
"1530","Johannesburg | Cape Town"
"1531","New England, USA"
"1532","Brasil"
"1533","South Africa"
"1534","  (`)()( )(`(`c)(`)"
"1535","Rio de Janeiro, Brasil"
"1536","some food place"
"1537","North West RSA"
"1538","Mar Del Tuy, Buenos Aires"
"1539","United States"
"1540","Rio das Ostras, Brasil"
"1541","On A Mission"
"1542","sunshine , louisiana"
"1543","California, USA"
"1544","On my way!"
"1545","Boston"
"1546","Durban Westville "
"1547","Winchester, UK"
"1548","Georgia"
"1549","Akron, Ohio USA"
"1550","Eureka, CA"
"1551","North Miami Beach, Florida"
"1552","HI"
"1553","Mumbai, India"
"1554","Mpumalanga "
"1555","Texas, USA"
"1556","Spokane, Wa"
"1557","Cleveland, Ohio"
"1558","Behind the trigger #Clownsec"
"1559","she/her; gi j a g c ml s m t v"
"1560","somewhere in the world"
"1561","Wherever You Want Me"
"1562","Newcastle"
"1563","We Internashional!"
"1564","Richboro, PA"
"1565","Chapel Hill, North Carolina"
"1566","Bronx, NY"
"1567","Chicago, IL"
"1568","New York, NY"
"1569","United States"
"1570","Lusaka, Zambia"
"1571","Beijing, People's Republic of China"
"1572","Eagle, ID"
"1573","Slovakia"
"1574","Dover, DE"
"1575","Long Island City, NY"
"1576","Paincourtville, LA"
"1577","England, United Kingdom"
"1578","Johannesburg"
"1579","Chicago"
"1580","Columbus, OH"
"1581","Chicago"
"1582","Arab, AL"
"1583","Toronto, Ontario"
"1584","Gaborone, Botswana & Zimbabwe "
"1585","Montral, Qubec"
"1586","Norway"
"1587","The wild wild west"
"1588","* I've Been Everywhere * Trump the United States of America * #USA #NRA"
"1589","Southern California "
"1590","Phoenix Metropolitan Area"
"1591","U.S.S Discovery"
"1592","Rustenburg."
"1593","Llanelli, Wales"
"1594","London, UK"
"1595","BFE  Ohio University"
"1596","Columbus, OH"
"1597","Spain/UK "
"1598","Queens New York City"
"1599","Rio Grand Valley, NM"
"1600","West Columbia, SC"
"1601","Guilford, Maine"
"1602","Sofa"
"1603","Plotting, USA"
"1604","Richmond Hill, Ontario"
"1605","In Roman's Yard... luxury!"
"1606","South Ockendon "
"1607","Soweto, South Africa "
"1608","minnesota land of 10,000 lakes"
"1609","Brooklyn, NY"
"1610","United States"
"1611","Brasil"
"1612","Metro New York"
"1613","Idk"
"1614","Cleveland"
"1615","Greenville, SC"
"1616","Rio de Janeiro "
"1617","Centreville, VA"
"1618","Decherd, TN"
"1619","Sao Januario"
"1620","Minneapolis, MN"
"1621","Hatfield"
"1622","1/2 bro twins | "
"1623","San Diego, CA"
"1624","UK"
"1625","Milwaukee, WI"
"1626","South Africa "
"1627","Fort Worth, TX"
"1628","Narnia"
"1629","NYC"
"1630","Smith Alberta Canada"
"1631","Hull, England"
"1632","Rockville, MD"
"1633","KweleNgabade"
"1634","Missouri, USA"
"1635","1(3+x)=58"
"1636","London, Ontario"
"1637","United States"
"1638","New York, NY"
"1639","Atlanta | to | BR"
"1640","Stockport, England"
"1641","Lecture hall"
"1642","Dartmouth, NS"
"1643","Germany"
"1644","Camborne, England"
"1645","."
"1646","In the Garden"
"1647","London"
"1648","At his house"
"1649","Estdio Nilton Santos"
"1650","Baton Rouge, LA"
"1651","Arkansas"
"1652","Rio de janeiro"
"1653","T: 32.712541,-117.164504"
"1654","Nova Iguau"
"1655","Baltimore, MD"
"1656","Los Angeles"
"1657","Florida, USA"
"1658","Seoul, Republic of Korea"
"1659","North Phoenix"
"1660","South Africa"
"1661","Campos dos Goytacazes, Brasil"
"1662","London (various)"
"1663","Beautiful Ontario, Canada"
"1664","New Jersey, USA"
"1665","Washington D.C."
"1666","ny baby"
"1667","Monterrey"
"1668","Tucson, AZ"
"1669","Earth somewhere "
"1670","Neverland"
"1671","Sao Paulo, Brazil"
"1672","Wingene "
"1673","New York City / Seattle"
"1674","Northampton, MA"
"1675","Salta"
"1676","Boston, MA"
"1677","United States"
"1678","London"
"1679","San Antonio, TX"
"1680","Toluca, Mxico"
"1681","Beckley, WV"
"1682","   '  , ' "
"1683","Dublin City, Ireland"
"1684","Federal District, Brazil"
"1685","Gauteng , eastrand"
"1686","Bochum (Ga-Broekman)"
"1687","Fowey, UK"
"1688","Michigan, USA"
"1689","Manchester"
"1690","London/Rio de Janeiro"
"1691","Dallas, TX"
"1692","Conway, AR"
"1693","Arlington, VA"
"1694","Ann Arbor, MI"
"1695","Rj"
"1696","Buffalo, NY"
"1697","Columbia, SC"
"1698","Mars"
"1699","Tuttle, OK"
"1700","Seattle, WA"
"1701","Quito, Ecuador"
"1702","Brazil"
"1703","Los Masos, France"
"1704","L.A. West~grew up in SG Valley"
"1705","Delaware & Maine"
"1706","LA"
"1707","Allentown, PA."
"1708","Toronto, Canada"
"1709"," london"
"1710","California, USA"
"1711","she/her or they/them"
"1712","New York"
"1713","Campos dos Goytacazes, Brasil"
"1714","Gettin tf outta here "
"1715","TanjungPinang, Indonesia"
"1716","cape town "
"1717","Washington, DC"
"1718","Mbeya, Tanzania"
"1719","under the sea"
"1720","Georgia, USA"
"1721","Johannesburg, South Africa"
"1722","Los Angeles, CA"
"1723","GA. ALL DAY!!!!"
"1724","Mobile, AL"
"1725","Munich"
"1726","Wherever AA Takes Me"
"1727","Seattle"
"1728","Alhambra, Ca"
"1729","pittsburgh"
"1730","Charlottesville"
"1731","Nuremberg, Germany"
"1732","Lebanon"
"1733","California"
"1734","College Park, MD"
"1735","Baton Rouge, LA"
"1736","Danville, KY"
"1737","Andrade city"
"1738","5034"
"1739","RTP, NC"
"1740","Porto Alegre"
"1741","Harare"
"1742","Chico, Cali"
"1743","Maryland"
"1744","Fuquay-Varina, NC"
"1745","Georgia | Florida | Wisconsin"
"1746","Texas, USA"
"1747","Austin, Queimados"
"1748","Great Malvern, England"
"1749","Houston, TX"
"1750","EAZ6 "
"1751","Italia"
"1752","ucla '20 "
"1753","Europa, The moon.."
"1754","Naperville, IL"
"1755","On a different perspective!"
"1756","England, United Kingdom"
"1757","Texa$"
"1758","St Paul, MN"
"1759","Chapel Hill, NC"
"1760","Salvador, Bahia, Brasil"
"1761","Chapel Hill, NC"
"1762","Washington, DC"
"1763","Edinburgh, Scotland."
"1764","Hawaii, USA"
"1765","Steelers Nation"
"1766","Florida"
"1767","Wales, UK."
"1768","Bulgaria, Razgrad"
"1769","Mexico City"
"1770","Winchester Hills"
"1771","Ahmadabad City, India"
"1772","Peace River  "
"1773","you did well jonghyun, we all love you"
"1774","Baja California, Mxico"
"1775","Top Of The World"
"1776","HUSTLERS PARADISE!"
"1777","Las Vegas / Hogwarts"
"1778","Northern born. Southern based."
"1779","Urban Woods"
"1780","Los Angeles"
"1781","Reston VA"
"1782","toronto"
"1783","T: 38.802671,-77.049333"
"1784","Stone Mountain, GA"
"1785","Berlin"
"1786","Swampton Orlando"
"1787","London"
"1788","Illinois"
"1789","51631"
"1790","#I am the NRA!"
"1791","Texas, USA"
"1792","Osceola, WI"
"1793","Boston, MA"
"1794","Oakland, CA"
"1795","Kingston, Jamaica"
"1796","Terrassa"
"1797","Birmingham , origin Stirling"
"1798","Los Angeles, CA"
"1799","CRHS"
"1800","New York State"
"1801","Ottawa, Ontario"
"1802","where it's warm"
"1803","Georgetown, De."
"1804","Libary"
"1805","Body: Earth, Mind: Cyberspace"
"1806","6ix side"
"1807","United States"
"1808","dreamin' big & playin' hard"
"1809","norwich"
"1810","Florida"
"1811","NO  DA MINHA ME"
"1812","Nunya Bidniss"
"1813","California, USA"
"1814","LOUIS TRICHARDT"
"1815","Of Thoughts"
"1816","Wakanda"
"1817","New York, NY"
"1818","Oklahoma City, OK 73132"
"1819","The Volunteer State"
"1820","Long Beach, CA "
"1821","021"
"1822","United States"
"1823","New York, NY"
"1824"," A LittLe WorLd of My Own"
"1825","      npaf"
"1826","United States"
"1827","Harare"
"1828","Stanford, CA"
"1829","United States"
"1830","Boulder, CO"
"1831","Galveston County, Rep of TX"
"1832","RGV, Texas"
"1833","CA"
"1834","North East UK"
"1835","Manchester, England"
"1836","Honolulu, Hawaii"
"1837","Aldborough, England"
"1838","She"
"1839","Florida, USA"
"1840","Tishomingo, OK"
"1841","United Kingdom"
"1842","Bitola"
"1843","Texas A&M University "
"1844","Delaware, USA"
"1845","So Gonalo, Brasil"
"1846","Hartselle, AL"
"1847","Denpasar - Bali"
"1848","Sacramento, CA"
"1849","stan"
"1850","Louisiana"
"1851","Lower Saxony, Germany"
"1852","California, USA"
"1853","Dallas, TX"
"1854","Corinth, Texas"
"1855","Amsterdam - Bern - Doha"
"1856","Denton, TX"
"1857","Iowa City, IA"
"1858","Michigan, USA"
"1859","Portland | PNW"
"1860","Sanquhar, Scotland"
"1861","Lost somewhere in time"
"1862","Lives in Natoland"
"1863","Washington"
"1864","Sul superior"
"1865","London, UK"
"1866","Sweet Springs, MO"
"1867","Asteroide 265"
"1868","Ripleys believe it or not "
"1869","San Diego"
"1870","Worcester, MA"
"1871","Roswell, NM"
"1872","stanbul, Trkiye"
"1873","No seu coraozinho"
"1874","New York, USA"
"1875","Reitz Park "
"1876","Wales "
"1877","Magazine Pages "
"1878","Bloemfontein"
"1879","United States"
"1880","London, England"
"1881","Marion, Va"
"1882","Miami, FL / Waco, TX"
"1883","Projects"
"1884","India"
"1885","America First, USA"
"1886","Weslaco, TX"
"1887","Brownwood, TX"
"1888","United Kingdom"
"1889","Reynoldsburg, OH"
"1890","Koreatown, Los Angeles"
"1891","Rustenburg, South Africa"
"1892","Sarawak, Malaysia"
"1893","Barcelona"
"1894","Midwest"
"1895","United States"
"1896","Port elizabeth"
"1897","young flu/ baixada/AustinFlu"
"1898","padang"
"1899","US"
"1900","United States"
"1901","Fort Worth, Texas"
"1902","Newburgh, IN"
"1903","Medieval England, Alaska"
"1904","Salford, England"
"1905","Wapda Town, Lahore."
"1906","#PHILLY #HUNGERGAINS"
"1907","Brisbane"
"1908","South Africa"
"1909","Rio de Janeiro, Brasil"
"1910","Pretoria, South Africa"
"1911","Dallas, GA"
"1912","41.387790, -72.896688"
"1913","Appleton, WI"
"1914","#BeThatGirl #NCAT"
"1915","MKE.  "
"1916","New York"
"1917","Baia Mare"
"1918","The Berkeley of the Midwest"
"1919","feeling very chuffed"
"1920","In the Dreamatorium"
"1921","S U B U R B I A  "
"1922","USA - SK"
"1923","rip poppopmike "
"1924","Arlington, TX"
"1925","United States"
"1926","London, England"
"1927","District of Columbia"
"1928","Glendale, CA"
"1929","New Delhi, India"
"1930","Milpitas, CA, USA"
"1931","||Endr||"
"1932","Statesboro, GA"
"1933","Arquibancada"
"1934","Canada"
"1935","Kansas City, MO"
"1936","99%..."
"1937","South Africa"
"1938","Bouncing between Boston and Montral"
"1939","T: 38.884495,-76.893808"
"1940","Scot | Inuit | Skandinavien"
"1941","There is no spoon, USA"
"1942","Inhoaba, Rio de Janeiro"
"1943","Sao Paulo , Brasil"
"1944","Mount Fletcher"
"1945","lancing"
"1946","Phakati Emkonti."
"1947","London, England"
"1948","earth"
"1949","Arizona"
"1950","Polska"
"1951","Londres, UK"
"1952","French Southern and Antarctic"
"1953","my blood type is OG"
"1954","rmcf  ffc  gres portela"
"1955","Phalaborwa, South Africa"
"1956","France"
"1957","Canada"
"1958","707 Richard St PH2"
"1959","Janesville, WI"
"1960","Cloud 9"
"1961","NOLA"
"1962","Asia"
"1963","Manchester, UK"
"1964","Philadelphia, PA"
"1965","Fort Smith, Arkansas"
"1966","Melbourne  (not Florida)"
"1967","Belgium"
"1968","Maharashtra, India"
"1969","shropshire"
"1970","Plymouth, England"
"1971","Manila, Philippines"
"1972","The Mess In My Mind"
"1973","Mandela's Neighborhood, Soweto"
"1974","Chicago suburbs"
"1975","Houston, TX"
"1976","Salvador - Bahia - Brasil"
"1977","499 W 4th Ave Eugene, Oregon"
"1978","Brooklyn, NY"
"1979","United States of Amnesia "
"1980","Dublin, Ireland"
"1981","San Antonio, TX"
"1982","PinkRabbits"
"1983","Salisbury, MD"
"1984","Jackson, Michigan"
"1985","missing eliza"
"1986","Wynantskill NY"
"1987","Venda Limpopo"
"1988","Philadelphia, PA"
"1989","Chertsey, South East"
"1990","Newcastle upon Tyne"
"1991","Toronto, Ontario"
"1992","somewhere loving jung hoseok"
"1993","Johannesburg, South Africa"
"1994","Detroit, MI"
"1995","Slumberland"
"1996","Truro"
"1997","Valhalla & Geneva"
"1998","Liverpool/Barnsley"
"1999","Durban, South Africa"
"2000","United States"
"2001","London"
"2002","California, USA"
"2003","202"
"2004","London"
"2005","Rio de Janeiro, Brasil"
"2006","Northampton "
"2007","Prince Ruperts Tower"
"2008","Austin, Queimados"
"2009","Onde o GPS no pega "
"2010","Mount Royal"
"2011","Elk Grove, CA"
"2012","paradise "
"2013","Wymington"
"2014","Townsville, Queensland"
"2015","New York City"
"2016","mcu"
"2017","United States"
"2018","Georgia College"
"2019","Valencia, Espaa"
"2020","Manchester, England"
"2021","Who Gives A Fuck"
"2022","Toronto, Ontario"
"2023","Santa Clarita, CA"
"2024","Toronto, ON"
"2025","Republic of Croatia"
"2026","South Carolina, USA"
"2027","Madison, Wisconsin, USA"
"2028","Boca "
"2029","Hollywood, Los Angeles"
"2030","VASAI"
"2031","St. Louis"
"2032","Rio de Janeiro, Brazil"
"2033","Washington, D.C."
"2034","UliqCupzyyHuggiesDJGufihs"
"2035","Sharon, MA"
"2036","Dead"
"2037","South africa, Mafikeng"
"2038","Johannesburg, South Africa"
"2039","Twin Cities, MN"
"2040","Durban, Azania"
"2041","Where I Wana Be "
"2042","Antwerpen, Belgium"
"2043","Cape Town/King Williams Town, "
"2044","Worldwide"
"2045","Croatia"
"2046","Hallandale Beach, FL"
"2047","United States"
"2048","Canada"
"2049","Pleasant Grove, UT"
"2050","Ottawa, Ontario"
"2051","Tarragona"
"2052","Johannesburg, South Africa"
"2053","Wales, United Kingdom"
"2054","71 S Washington St. Tiffin, OH"
"2055","East Timor"
"2056","The pathway to more success "
"2057","St Louis, MO"
"2058","NC"
"2059","Rio de Janeiro, Brazil"
"2060","Philadelphia"
"2061","Pittsburgh pa LaRiMeRAvE!"
"2062","Cidade Nova, Manaus"
"2063","West Midlands, England"
"2064","Boston, MA"
"2065","United States"
"2066","Central, Zambia"
"2067","Manarola"
"2068","Midlothian, TX"
"2069"," South Africa"
"2070","Loveland, Co"
"2071","Florida"
"2072","Singapore"
"2073","Canada"
"2074","Ontario, Canada"
"2075","Manchester, UK"
"2076","Galicia"
"2077","somewhere"
"2078","Johannesburg, South Africa"
"2079","Bed"
"2080","Seoul, Republic of Korea"
"2081","Botswana,Gaborone"
"2082","Glasgow, Scotland"
"2083","Durban,Potchefstroom,Stamford"
"2084","ArmeSilencieuse19542045GuerreTranquilleLeContrleDuPeuple#Transhumanisation"
"2085","Morristown, Tn"
"2086","Mississauga, Ontario"
"2087","Somerset"
"2088","Las Palmas de Gran Canaria, Espaa"
"2089","Orange County, NY"
"2090","Houston, TX"
"2091"," #"
"2092","United States"
"2093","PARIS AREA FRANCE "
"2094","#SexPositive Educator For Life"
"2095","Seattle, WA"
"2096","Bihar, India"
"2097","Rutledge, Tennessee"
"2098","Chicago, IL"
"2099","Lancaster County, PA"
"2100","Newcastle,South Africa"
"2101","San Francisco"
"2102","your mom's house"
"2103","na tua"
"2104","North East, England"
"2105","Indonesia"
"2106","Belford Roxo, Brasil"
"2107","Olympic Peninsula, WA"
"2108","Niagara Falls, NY"
"2109","cali baby"
"2110","California, USA"
"2111","Jakarta Timur, DKI Jakarta"
"2112","Charlotte | ATL | DMV"
"2113","kerjen,Srengat, East Java"
"2114","Florida, USA"
"2115","TrumpQuilityBaseAlabama"
"2116","S'ville"
"2117","Philadelphia, PA"
"2118","Scotland, Britain."
"2119","415916"
"2120","india "
"2121","#PlanetYadong"
"2122","viendo stranger things mientras como torta"
"2123","Jaipur, India"
"2124","Milas, Mula"
"2125","Strasbourg, France"
"2126","SE London/Brighton"
"2127","UK"
"2128","Pittsburgh, PA"
"2129"," "
"2130","   "
"2131","Shamsabad, Sirathu, Kaushambi, Utter_Pradesh_INDIA_!"
"2132","Los Angeles, CA"
"2133","Sylacauga, AL"
"2134","Ontario, Canada"
"2135","Los Angeles, CA"
"2136","Alabama, USA"
"2137","Nigeria"
"2138","  "
"2139","Cape Republic"
"2140","South of Saltline"
"2141","Rio de Janeiro, Brasil"
"2142","Kavash"
"2143","Oakville, Ontario_Canada"
"2144","Noida"
"2145","Silver Spring, MD"
"2146","Charleston  ATL  "
"2147","Amsterdam, New Jersey"
"2148","Toronto, Ontario"
"2149","Dominican Republic"
"2150","oregon|landof|letsjustfixitwith|anothertax"
"2151","NotYourTwitterClique"
"2152","San Jose, CA"
"2153","East London, South Africa"
"2154","Medan Kota, Indonesia"
"2155","Los Angeles, CA"
"2156","Seymour, TN"
